Name,Well,"Fluor:360/40,460/40"
DMSO_unstim,A1,18
5uMRo_unstim,B1,20
10uMRo_unstim,C1,19
20uMRo_unstim,D1,20
50uMRo_unstim,E1,17
100uMRo_unstim,F1,17
,G1,15
,H1,15
DMSO_unstim,A2,25
5uMRo_unstim,B2,22
10uMRo_unstim,C2,20
20uMRo_unstim,D2,17
50uMRo_unstim,E2,16
100uMRo_unstim,F2,15
,G2,15
,H2,15
DMSO_unstim,A3,26
5uMRo_unstim,B3,22
10uMRo_unstim,C3,20
20uMRo_unstim,D3,18
50uMRo_unstim,E3,15
100uMRo_unstim,F3,14
,G3,15
,H3,15
DMSO_unstim,A4,26
5uMRo_unstim,B4,23
10uMRo_unstim,C4,20
20uMRo_unstim,D4,17
50uMRo_unstim,E4,16
100uMRo_unstim,F4,16
,G4,15
,H4,16
DMSO_unstim,A5,25
5uMRo_unstim,B5,19
10uMRo_unstim,C5,19
20uMRo_unstim,D5,17
50uMRo_unstim,E5,16
100uMRo_unstim,F5,15
,G5,16
,H5,16
DMSO_unstim,A6,26
5uMRo_unstim,B6,24
10uMRo_unstim,C6,20
20uMRo_unstim,D6,16
50uMRo_unstim,E6,16
100uMRo_unstim,F6,15
,G6,15
,H6,15
DMSO_stim,A7,24
5uMRo_stim,B7,22
10uMRo_stim,C7,18
20uMRo_stim,D7,16
50uMRo_stim,E7,15
100uMRo_stim,F7,15
,G7,16
,H7,15
DMSO_stim,A8,23
5uMRo_stim,B8,25
10uMRo_stim,C8,19
20uMRo_stim,D8,16
50uMRo_stim,E8,16
100uMRo_stim,F8,14
,G8,15
,H8,17
DMSO_stim,A9,25
5uMRo_stim,B9,24
10uMRo_stim,C9,20
20uMRo_stim,D9,15
50uMRo_stim,E9,15
100uMRo_stim,F9,14
mediaOnly,G9,13
mediaOnly,H9,13
DMSO_stim,A10,25
5uMRo_stim,B10,22
10uMRo_stim,C10,19
20uMRo_stim,D10,16
50uMRo_stim,E10,15
100uMRo_stim,F10,14
mediaOnly,G10,13
mediaOnly,H10,13
DMSO_stim,A11,22
5uMRo_stim,B11,18
10uMRo_stim,C11,20
20uMRo_stim,D11,16
50uMRo_stim,E11,15
100uMRo_stim,F11,15
mediaOnly,G11,12
mediaOnly,H11,13
DMSO_stim,A12,26
5uMRo_stim,B12,22
10uMRo_stim,C12,19
20uMRo_stim,D12,16
50uMRo_stim,E12,16
100uMRo_stim,F12,16
mediaOnly,G12,14
mediaOnly,H12,13
