Name,Well,"Fluor:530/25,590/35"
DMSO_us,A1,525
0.1uM_us,B1,581
0.5uM_us,C1,523
1uM_us,D1,459
2.5uM_us,E1,491
5uM_us,F1,470
N/A,G1,3
N/A,H1,3
DMSO_us,A2,587
0.1uM_us,B2,596
0.5uM_us,C2,484
1uM_us,D2,489
2.5uM_us,E2,468
5uM_us,F2,427
N/A,G2,3
N/A,H2,3
DMSO_us,A3,606
0.1uM_us,B3,524
0.5uM_us,C3,502
1uM_us,D3,486
2.5uM_us,E3,408
5uM_us,F3,404
N/A,G3,3
N/A,H3,3
DMSO_us,A4,566
0.1uM_us,B4,475
0.5uM_us,C4,425
1uM_us,D4,471
2.5uM_us,E4,398
5uM_us,F4,342
N/A,G4,3
N/A,H4,3
DMSO_us,A5,446
0.1uM_us,B5,444
0.5uM_us,C5,418
1uM_us,D5,421
2.5uM_us,E5,408
5uM_us,F5,330
N/A,G5,3
N/A,H5,2
DMSO_us,A6,427
0.1uM_us,B6,409
0.5uM_us,C6,394
1uM_us,D6,382
2.5uM_us,E6,330
5uM_us,F6,284
N/A,G6,3
N/A,H6,3
DMSO_st,A7,430
0.1uM_st,B7,416
0.5uM_st,C7,366
1uM_st,D7,342
2.5uM_st,E7,349
5uM_st,F7,274
N/A,G7,2
N/A,H7,3
DMSO_st,A8,397
0.1uM_st,B8,422
0.5uM_st,C8,415
1uM_st,D8,328
2.5uM_st,E8,331
5uM_st,F8,268
N/A,G8,3
N/A,H8,3
DMSO_st,A9,445
0.1uM_st,B9,423
0.5uM_st,C9,402
1uM_st,D9,378
2.5uM_st,E9,392
5uM_st,F9,297
MediaOnly,G9,110
MediaOnly,H9,111
DMSO_st,A10,437
0.1uM_st,B10,443
0.5uM_st,C10,360
1uM_st,D10,373
2.5uM_st,E10,367
5uM_st,F10,292
MediaOnly,G10,117
MediaOnly,H10,126
DMSO_st,A11,449
0.1uM_st,B11,442
0.5uM_st,C11,366
1uM_st,D11,344
2.5uM_st,E11,333
5uM_st,F11,269
MediaOnly,G11,120
MediaOnly,H11,112
DMSO_st,A12,438
0.1uM_st,B12,349
0.5uM_st,C12,457
1uM_st,D12,433
2.5uM_st,E12,385
5uM_st,F12,349
MediaOnly,G12,109
MediaOnly,H12,119
