Name,Well,"Fluor:530/25,590/35"
DMSO_unstim,A1,235
5uMRo_unstim,B1,206
10uMRo_unstim,C1,162
20uMRo_unstim,D1,162
50uMRo_unstim,E1,165
100uMRo_unstim,F1,161
,G1,2
,H1,2
DMSO_unstim,A2,158
5uMRo_unstim,B2,199
10uMRo_unstim,C2,166
20uMRo_unstim,D2,162
50uMRo_unstim,E2,163
100uMRo_unstim,F2,161
,G2,3
,H2,2
DMSO_unstim,A3,163
5uMRo_unstim,B3,217
10uMRo_unstim,C3,167
20uMRo_unstim,D3,164
50uMRo_unstim,E3,164
100uMRo_unstim,F3,163
,G3,3
,H3,4
DMSO_unstim,A4,302
5uMRo_unstim,B4,224
10uMRo_unstim,C4,169
20uMRo_unstim,D4,168
50uMRo_unstim,E4,165
100uMRo_unstim,F4,164
,G4,3
,H4,3
DMSO_unstim,A5,302
5uMRo_unstim,B5,215
10uMRo_unstim,C5,166
20uMRo_unstim,D5,161
50uMRo_unstim,E5,162
100uMRo_unstim,F5,164
,G5,3
,H5,3
DMSO_unstim,A6,301
5uMRo_unstim,B6,222
10uMRo_unstim,C6,170
20uMRo_unstim,D6,162
50uMRo_unstim,E6,163
100uMRo_unstim,F6,163
,G6,3
,H6,3
DMSO_stim,A7,295
5uMRo_stim,B7,232
10uMRo_stim,C7,175
20uMRo_stim,D7,165
50uMRo_stim,E7,166
100uMRo_stim,F7,164
,G7,3
,H7,4
DMSO_stim,A8,300
5uMRo_stim,B8,212
10uMRo_stim,C8,174
20uMRo_stim,D8,167
50uMRo_stim,E8,166
100uMRo_stim,F8,161
,G8,2
,H8,2
DMSO_stim,A9,292
5uMRo_stim,B9,207
10uMRo_stim,C9,172
20uMRo_stim,D9,165
50uMRo_stim,E9,164
100uMRo_stim,F9,163
mediaOnly,G9,167
mediaOnly,H9,161
DMSO_stim,A10,279
5uMRo_stim,B10,210
10uMRo_stim,C10,169
20uMRo_stim,D10,168
50uMRo_stim,E10,164
100uMRo_stim,F10,164
mediaOnly,G10,165
mediaOnly,H10,160
DMSO_stim,A11,303
5uMRo_stim,B11,220
10uMRo_stim,C11,172
20uMRo_stim,D11,167
50uMRo_stim,E11,163
100uMRo_stim,F11,162
mediaOnly,G11,175
mediaOnly,H11,162
DMSO_stim,A12,353
5uMRo_stim,B12,225
10uMRo_stim,C12,167
20uMRo_stim,D12,164
50uMRo_stim,E12,165
100uMRo_stim,F12,163
mediaOnly,G12,165
mediaOnly,H12,162
