Sample,Well,Read:450,Read:540,Read:570,"Fluor:530/25,590/35"
DMSO_ND,A1,0.212,0.045,0.043,409
0.5uM_ND,B1,0.579,0.045,0.043,413
1uM_ND,C1,0.367,0.047,0.044,373
2.5uM_ND,D1,0.568,0.058,0.053,299
5uM_ND,E1,0.827,0.054,0.047,259
10uM_ND,F1,0.852,0.053,0.046,182
std1,G1,0.207,0.045,0.043,87
std1,H1,0.195,0.045,0.043,92
DMSO_ND,A2,0.164,0.044,0.043,477
0.5uM_ND,B2,0.222,0.044,0.043,465
1uM_ND,C2,0.397,0.047,0.044,356
2.5uM_ND,D2,0.525,0.049,0.045,316
5uM_ND,E2,0.787,0.06,0.049,241
10uM_ND,F2,0.776,0.053,0.047,181
std2,G2,0.332,0.047,0.045,92
std2,H2,0.338,0.045,0.043,87
DMSO_ND,A3,0.177,0.044,0.043,480
0.5uM_ND,B3,0.252,0.046,0.044,406
1uM_ND,C3,0.319,0.046,0.044,399
2.5uM_ND,D3,0.579,0.051,0.046,316
5uM_ND,E3,0.815,0.054,0.047,250
10uM_ND,F3,0.852,0.053,0.046,168
std3,G3,0.548,0.049,0.045,91
std3,H3,0.552,0.053,0.048,93
DMSO_ND,A4,0.2,0.044,0.043,382
0.5uM_ND,B4,0.245,0.045,0.044,433
1uM_ND,C4,0.319,0.046,0.044,365
2.5uM_ND,D4,0.626,0.05,0.045,300
5uM_ND,E4,0.851,0.054,0.048,242
10uM_ND,F4,0.796,0.053,0.047,178
std4,G4,0.831,0.087,0.074,90
std4,H4,0.823,0.053,0.046,92
DMSO_ND,A5,0.192,0.044,0.043,434
0.5uM_ND,B5,0.278,0.046,0.044,348
1uM_ND,C5,0.307,0.046,0.044,384
2.5uM_ND,D5,0.574,0.049,0.045,308
5uM_ND,E5,0.769,0.053,0.046,261
10uM_ND,F5,0.845,0.053,0.046,171
std5,G5,0.984,0.065,0.056,101
std5,H5,1.03,0.069,0.059,92
DMSO_ND,A6,0.199,0.045,0.044,351
0.5uM_ND,B6,0.211,0.044,0.043,400
1uM_ND,C6,0.306,0.046,0.044,352
2.5uM_ND,D6,0.541,0.052,0.046,317
5uM_ND,E6,0.645,0.051,0.046,275
10uM_ND,F6,0.816,0.054,0.047,195
std6,G6,1.102,0.057,0.048,92
std6,H6,1.042,0.056,0.047,95
DMSO_Dox,A7,0.205,0.045,0.044,437
0.5uM_Dox,B7,0.354,0.046,0.043,296
1uM_Dox,C7,0.382,0.047,0.044,328
2.5uM_Dox,D7,0.643,0.051,0.045,296
5uM_Dox,E7,0.866,0.052,0.045,185
10uM_Dox,F7,0.898,0.053,0.045,176
std7,G7,1.091,0.056,0.046,2
std7,H7,1.112,0.057,0.047,1
DMSO_Dox,A8,0.218,0.044,0.043,380
0.5uM_Dox,B8,0.377,0.046,0.043,282
1uM_Dox,C8,0.422,0.047,0.044,288
2.5uM_Dox,D8,0.714,0.051,0.045,241
5uM_Dox,E8,0.824,0.053,0.046,227
10uM_Dox,F8,0.904,0.054,0.046,154
nsb,G8,0.047,0.043,0.043,2
nsb,H8,0.046,0.042,0.042,1
DMSO_Dox,A9,0.23,0.044,0.043,447
0.5uM_Dox,B9,0.357,0.047,0.044,328
1uM_Dox,C9,0.475,0.048,0.045,360
2.5uM_Dox,D9,0.696,0.051,0.046,304
5uM_Dox,E9,0.878,0.055,0.048,257
10uM_Dox,F9,0.911,0.054,0.046,208
mediaOnly,G9,1.161,0.059,0.049,87
mediaOnly,H9,1.114,0.057,0.047,86
DMSO_Dox,A10,0.213,0.046,0.044,479
0.5uM_Dox,B10,0.313,0.046,0.044,366
1uM_Dox,C10,0.535,0.054,0.051,292
2.5uM_Dox,D10,0.73,0.055,0.048,295
5uM_Dox,E10,0.89,0.054,0.046,261
10uM_Dox,F10,0.935,0.055,0.047,152
mediaOnly,G10,1.095,0.057,0.048,94
mediaOnly,H10,1.116,0.057,0.047,90
DMSO_Dox,A11,0.197,0.045,0.044,465
0.5uM_Dox,B11,0.388,0.048,0.044,319
1uM_Dox,C11,0.434,0.048,0.044,309
2.5uM_Dox,D11,0.665,0.069,0.065,296
5uM_Dox,E11,0.819,0.056,0.048,262
10uM_Dox,F11,0.9,0.057,0.049,177
mediaOnly,G11,1.067,0.056,0.047,94
mediaOnly,H11,1.056,0.056,0.047,86
DMSO_Dox,A12,0.208,0.046,0.045,467
0.5uM_Dox,B12,0.436,0.047,0.045,315
1uM_Dox,C12,0.422,0.047,0.044,351
2.5uM_Dox,D12,0.668,0.051,0.045,312
5uM_Dox,E12,0.837,0.053,0.046,265
10uM_Dox,F12,0.858,0.053,0.046,190
mediaOnly,G12,1.079,0.058,0.048,96
mediaOnly,H12,1.087,0.058,0.049,95
