Name,Well,Read:450,Read:540,Read:570
DMSO_unstim,A1,0.48,0.048,0.044
0.1uM_unstim,B1,0.409,0.045,0.042
0.5uM_unstim,C1,0.423,0.046,0.043
1uM_unstim,D1,0.439,0.047,0.043
2.5uM_unstim,E1,0.488,0.049,0.044
5uM_unstim,F1,0.505,0.048,0.043
std1,G1,0.135,0.041,0.04
std1,H1,0.145,0.043,0.042
DMSO_unstim,A2,0.456,0.048,0.044
0.1uM_unstim,B2,0.372,0.046,0.043
0.5uM_unstim,C2,0.361,0.045,0.042
1uM_unstim,D2,0.411,0.045,0.042
2.5uM_unstim,E2,0.462,0.045,0.042
5uM_unstim,F2,0.511,0.043,0.039
std2,G2,0.243,0.039,0.037
std2,H2,0.245,0.043,0.042
DMSO_unstim,A3,0.534,0.048,0.043
0.1uM_unstim,B3,0.45,0.045,0.041
0.5uM_unstim,C3,0.39,0.045,0.042
1uM_unstim,D3,0.377,0.043,0.04
2.5uM_unstim,E3,0.355,0.045,0.042
5uM_unstim,F3,0.506,0.043,0.039
std3,G3,0.436,0.048,0.045
std3,H3,0.404,0.046,0.043
DMSO_unstim,A4,0.518,0.048,0.044
0.1uM_unstim,B4,0.455,0.047,0.043
0.5uM_unstim,C4,0.311,0.043,0.04
1uM_unstim,D4,0.308,0.044,0.041
2.5uM_unstim,E4,0.418,0.044,0.04
5uM_unstim,F4,0.551,0.043,0.038
std4,G4,0.659,0.044,0.039
std4,H4,0.697,0.05,0.044
DMSO_unstim,A5,0.458,0.048,0.044
0.1uM_unstim,B5,0.307,0.045,0.043
0.5uM_unstim,C5,0.31,0.045,0.043
1uM_unstim,D5,0.352,0.046,0.043
2.5uM_unstim,E5,0.382,0.045,0.041
5uM_unstim,F5,0.559,0.038,0.033
std5,G5,0.816,0.052,0.045
std5,H5,0.846,0.051,0.044
DMSO_unstim,A6,0.366,0.047,0.044
0.1uM_unstim,B6,0.361,0.046,0.043
0.5uM_unstim,C6,0.336,0.044,0.04
1uM_unstim,D6,0.36,0.044,0.042
2.5uM_unstim,E6,0.433,0.044,0.04
5uM_unstim,F6,0.564,0.046,0.041
std6,G6,0.917,0.058,0.05
std6,H6,0.889,0.053,0.045
DMSO_stim,A7,0.187,0.044,0.043
0.1uM_stim,B7,0.183,0.043,0.042
0.5uM_stim,C7,0.186,0.035,0.034
1uM_stim,D7,0.229,0.046,0.044
2.5uM_stim,E7,0.293,0.043,0.04
5uM_stim,F7,0.56,0.048,0.043
std7,G7,1.009,0.053,0.044
std7,H7,0.978,0.054,0.046
DMSO_stim,A8,0.21,0.044,0.042
0.1uM_stim,B8,0.193,0.043,0.041
0.5uM_stim,C8,0.193,0.036,0.033
1uM_stim,D8,0.246,0.034,0.031
2.5uM_stim,E8,0.295,0.033,0.03
5uM_stim,F8,0.59,0.049,0.044
nsb,G8,0.048,0.041,0.04
nsb,H8,0.049,0.041,0.041
DMSO_stim,A9,0.194,0.044,0.043
0.1uM_stim,B9,0.199,0.043,0.042
0.5uM_stim,C9,0.204,0.044,0.042
1uM_stim,D9,0.227,0.04,0.038
2.5uM_stim,E9,0.309,0.038,0.035
5uM_stim,F9,0.536,0.045,0.041
mediaOnly,G9,0.911,0.051,0.043
mediaOnly,H9,0.936,0.054,0.046
DMSO_stim,A10,0.195,0.045,0.043
0.1uM_stim,B10,0.194,0.043,0.042
0.5uM_stim,C10,0.241,0.041,0.039
1uM_stim,D10,0.24,0.044,0.043
2.5uM_stim,E10,0.334,0.046,0.044
5uM_stim,F10,0.53,0.048,0.044
mediaOnly,G10,0.948,0.051,0.043
mediaOnly,H10,0.916,0.05,0.042
DMSO_stim,A11,0.271,0.045,0.043
0.1uM_stim,B11,0.211,0.044,0.042
0.5uM_stim,C11,0.222,0.044,0.042
1uM_stim,D11,0.263,0.044,0.042
2.5uM_stim,E11,0.342,0.045,0.042
5uM_stim,F11,0.596,0.042,0.037
mediaOnly,G11,0.912,0.055,0.048
mediaOnly,H11,0.934,0.053,0.046
DMSO_stim,A12,0.246,0.045,0.043
0.1uM_stim,B12,0.223,0.047,0.045
0.5uM_stim,C12,0.199,0.042,0.041
1uM_stim,D12,0.253,0.035,0.033
2.5uM_stim,E12,0.337,0.036,0.033
5uM_stim,F12,0.548,0.037,0.032
mediaOnly,G12,0.881,0.053,0.046
mediaOnly,H12,0.973,0.054,0.046
