Metabolite,KEGG,DM_0_1,DM_0_2,DM_0_3,Ro_0_1,Ro_0_2,Ro_0_3,DM_4_1,DM_4_2,DM_4_3,Ro_4_1,Ro_4_2,Ro_4_3,DM_8_1,DM_8_2,DM_8_3,Ro_8_1,Ro_8_2,Ro_8_3,DM_12_1,DM_12_2,DM_12_3,Ro_12_1,Ro_12_2,Ro_12_3,DM_16_1,DM_16_2,DM_16_3,Ro_16_1,Ro_16_2,Ro_16_3,DM_24_1,DM_24_2,DM_24_3,Ro_24_1,Ro_24_2,Ro_24_3
Creatine,C00300,30682630,27866950,25531720,17211680,25551220,27281180,23029740,22161570,28043650,26778770,27159470,23061250,34009480,29131710,20467400,15347940,25862470,22214050,22321520,22432840,20711800,5363674,17311440,22375650,22854930,22749160,130794000,17599650,26719440,18982790,26777190,30657460,26264710,28524140,24630540,22358150
Creatinine,C00791,149899,109603,152001,163887,123842,136904,203642,148876,121813,168079,160114,137282,151686,132606,107657,108849,120565,93576,106056,145545,124865,79074,113472,146699,157088,140895,3114858,144686,132452,118347,191253,157158,161630,128237,170982,139889
Guanidinoacetate,C00581,36266,32812,34889,37390,37149,57162,33672,35111,28590,49749,19607,64205,60600,40045,33627,32364,49445,55309,23470,13795,28810,11630,32992,27019,30797,29330,30213,46851,48209,42918,35958,24759,62775,72740,80123,50179
trans-4-Hydroxy-L-proline,C01157,263837,284318,265222,167727,269959,267579,173644,167943,272374,153840,212886,181915,193172,227049,199801,89084,160692,140744,211080,223461,227964,112681,185922,200742,185166,223687,258473,142779,200507,227324,319114,328757,350446,335079,324970,246805
N-Succinyl-L-glutamate 5-semialdehyde,C05932,9396,5158,5169,6908,7695,18138,26447,10430,10558,19227,19692,19936,24078,12025,3798,4633,7249,11293,7732,5664,6988,1,7872,12505,6157,6505,35375,14991,4484,4923,10618,9866,10123,21330,6101,15022
Pantothenol,C00864,605317,473859,640371,551667,521032,594845,866727,1043883,880123,875443,878609,988534,1062576,763326,651302,624219,669566,643331,605742,602667,521089,145816,548878,549003,804645,730797,663713,787522,817006,641915,776935,726861,890814,741158,576788,629396
Pantetheine,C00831,5128,6308,5671,4592,7618,5513,4695,2814,1520,1015,1,373,9914,10209,10262,3871,9652,10995,9815,9387,12264,555,5774,9375,5985,4190,1490,3201,606,781,11443,7211,7151,3343,900,1350
Taurine,C00245,4406380,4028259,4120972,3041223,3893711,4817068,4074417,4132313,4659834,4165168,3612055,5443050,4301446,2878046,2553927,2171098,2604376,2831517,2375562,1939238,2125364,429152,1546610,2245172,3356997,3262650,3906220,2999148,2318881,2001577,3233947,2397489,4176013,3046633,2443857,2881045
Hypotaurine,C00519,50034,45929,74280,65378,62159,91867,99368,68925,95183,107284,53899,142498,103449,48787,62798,60748,55147,65233,35568,16135,7009,1,15461,17979,78274,59835,23546,55477,16364,18451,34174,9092,72145,27568,14459,25958
5-Hydroxyindoleacetate,C05635,58095,72907,82965,57608,70535,61852,51556,61728,83977,41633,71845,57056,112341,85454,67009,36366,57008,58166,75201,112819,65709,26321,71170,60273,119194,109625,107165,73766,88091,82389,128206,94546,145536,113640,113548,84694
